topicId,rank,docId,filename
0,0,0,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diary.txt
0,1,1,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diaryNew.txt
1,0,0,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diary.txt
1,1,1,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diaryNew.txt
2,0,0,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diary.txt
2,1,1,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diaryNew.txt
3,0,1,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diaryNew.txt
3,1,0,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diary.txt
4,0,0,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diary.txt
4,1,1,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diaryNew.txt
5,0,1,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diaryNew.txt
5,1,0,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diary.txt
6,0,1,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diaryNew.txt
6,1,0,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diary.txt
7,0,0,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diary.txt
7,1,1,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diaryNew.txt
8,0,1,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diaryNew.txt
8,1,0,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diary.txt
9,0,0,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diary.txt
9,1,1,file:/C:/Users/Eliss/Desktop/Crafting%20Digital%20History/WeekSix/Textfiles/diaryNew.txt
